destination|lat|long|cluster
Dibba|25.6167|56.2667|48
River Sao Nicolau|-14.25|12.3333|53
Great Wall|-62.2167|-58.9667|35
Zhongshan|-69.3667|76.3833|11
Rivadavia|-33.1833|-68.4667|10
Tunuyan|-33.5667|-69.0167|10
Villa Hernandarias|-31.2333|-59.9833|90
Leutschach|46.6667|15.4667|103
Annandale|-33.8833|151.167|81
Bing Bong|-15.6|136.35|73
Bomaderry|-34.85|150.617|81
Caufield North|-37.8667|14.85|39
Cockatoo Island|-16.1|123.617|16
Cowaramup|-33.8667|115.083|45
Grantham|-27.5833|152.2|0
Palmerston|-12.4667|130.833|109
Port of Brisbane|-27.3833|153.167|0
South Trees|-23.9|151.283|133
Withnell Bay|-20.5833|116.783|104
Blaton|50.5|3.65|72
De Pinte|51.0|3.65|72
Havr�|50.4667|4.03333|72
Lanaken|50.8833|5.65|105
Mechelen|51.0333|4.46667|72
Nevele|51.0333|3.55|72
Okegem|50.85|4.05|72
Pont-�-Celles|50.5|4.35|72
Rebaix|50.65|3.78333|72
Roesbrugge-Haringe|50.9167|2.61667|72
Solre-sur-Sambre|50.3|4.13333|72
Vaulx|50.0667|4.36667|72
Ville-sur-Haine|50.4667|4.05|72
Alc�ntara|-2.4|-44.4167|4
Antonina|-25.4167|-48.7|134
Bacabeira|-2.98333|-44.3|4
Cruzeiro do Sul|-7.61667|-72.6667|139
Eirunep�|-6.66667|-69.85|21
Itagua� Pt = Sepetiba Pt|-22.8667|-43.7667|37
Vila do Conde Pt / Barcarena|-1.51667|-48.7167|127
Barrington|43.5667|-65.5667|71
Bow City|50.4167|-112.267|75
Jackson Arm|49.8667|-56.8|18
L'Anse-�-Beaufils|48.4667|-64.3|129
Meaford|44.6|-80.6|158
Notre-Dame-du-Bon-Conseil|46.0|-72.35|163
Saint-Damien-de-Brandon|46.3333|-73.4833|163
Williams Harbour|52.55|-55.7833|166
Porto Ronco|46.1333|8.73333|115
Dalcahue|-42.3833|-73.6667|84
Puerto Patache|-20.8|-70.2|92
Aojiang Pt|27.5833|120.45|89
Dongjiaotou Pt|20.3333|110.417|144
Qisha Pt|21.5833|108.467|144
Shidao Pt|36.8667|122.433|118
Wenshan|23.3667|104.25|97
Wuzhou|23.4833|111.333|36
Leticia|-4.21667|-69.9333|21
Golfito|8.65|-83.15|27
San Pedro de Poas|10.0833|-84.25|27
Sint Michielsbaai|12.15|-68.9833|100
Bartosovice|49.6667|18.05|169
Kadan|50.3833|13.2667|179
Alt Bork|52.1833|12.8667|179
Baltrum|53.7333|7.36667|15
Brodenbach|50.2167|7.45|105
Dorsten|51.6667|6.96667|105
Friedrichsfeld|51.6333|6.65|105
Grossensiel|53.4667|8.48333|162
Issum|51.5333|6.41667|105
Ludwigsau|50.8833|9.73333|151
Mainzlar|50.6667|-8.73333|124
Minsen|53.7|7.96667|15
Neuharlingersiel|53.7|7.7|15
Nordhorn|52.4333|7.08333|15
Oberwinter|50.6|7.2|105
Ostermoor|53.9|9.18333|162
Pautzfeld|49.7667|11.0167|151
Pf�rring|48.8167|11.6833|6
Spiekeroog|53.7667|7.7|15
Ueckerm�nde|53.7333|14.05|78
Viewrow|54.1167|13.5833|78
Wangerooge|53.8|7.9|15
