destination|lat|long
Aachen|50.7667|6.08333
Abbehausen|53.4833|8.43333
Abbenfleth|53.6667|9.48333
Abbesb�ttel|52.35|10.5667
Achmer|52.4|7.93333
Achterwehr|54.3167|9.96667
Ahlbeck|53.6667|14.2
Aitrach|47.95|10.0833
Albersweiler|49.2167|8.01667
Alf|50.05|7.11667
Alsleben|51.7|11.6667
Alt Bork|52.1833|12.8667
Altenbruch Reede|53.85|8.8
Alteng�rs|53.9|10.2
Altenlingen|52.55|7.3
Altenwerder|53.5167|9.91667
Am Hund|50.1667|7.68333
Amberg|49.4333|11.8667
Amelsb�ren|51.8833|7.6
Ammerland|47.9|11.3333
Amrum|54.65|8.35
Andernach|50.4333|7.4
Apen|53.2167|7.8
Arendsee|52.8833|11.4833
Arnsberg|51.3833|8.08333
Audorf|54.3167|9.71667
Augustfehn|53.2167|7.76667
Aurich|53.4667|7.48333
Babelsberg|52.3833|13.1167
Babelsberg|49.0833|11.9
Bacharach|50.05|7.76667
Bad Bevensen|53.0833|10.5833
Bad D�rrenberg|51.2833|12.05
Bad D�rrheim|48.0167|8.53333
Bad Essen|52.3167|8.33333
Bahlingen|48.1167|7.73333
Ballrechten|47.8667|7.7
Baltrum|53.7333|7.36667
Barbing|49|12.2
Barnkrug|53.6833|9.46667
Basbeck|53.6833|9.18333
Beddingen|52.1833|10.4167
Beeskow|52.1667|14.2333
Belgern|51.4833|13.1167
Bendorf/Rhein|50.4167|7.56667
Bensersiel|53.6833|7.58333
Berggiessh�bel|50.8667|13.9333
Bergisch Gladbach|50.9833|7.13333
Berlin|52.5167|13.3833
Bermatingen|47.7333|9.33333
Bertingen|52.35|11.8333
Biene|52.5667|7.28333
Biere|51.9667|11.65
Bindow|52.2833|13.75
Bingen am Rhein|49.9667|7.88333
Binz|54.4|13.6
Birklar|50.5|8.81667
Birkweiler|49.2|8.03333
Blankenheim|50.4333|6.65
Blossin|52.25|13.7833
Blumenthal/Bremen|53.1833|8.58333
Bockenem|52.0167|10.1333
Bockholdt|52.8833|10.1167
Bodenteich|52.85|10.6667
Boffzen|51.75|9.38333
Boizenburg|53.3833|10.7167
Bokel|53.3833|8.76667
B�rgemoor|53.0167|7.5
Borgstedt|54.3333|9.71667
Borkum|53.5833|6.66667
Borsch�tz|56.4|13.2167
Bortfeld|52.3|10.4
Boxberg|49.4833|9.63333
Brachwitz|51.5333|11.8667
Brahlstorf|53.7|11.55
Brake|53.3333|8.48333
Bralitz|52.8333|14
Bramel|53.55|8.7
Brandenburg|52.4167|12.55
Braunschweig|52.2667|10.5
Braunsdorf|52.3667|13.95
Bremerv�rde|53.4833|9.13333
Brink|52.4333|9.73333
Britz|52.45|13.4333
Brodenbach|50.2167|7.45
Bubsheim|48.1167|8.81667
B�delsdorf|54.3|9.65
B�hl|48.6833|8.13333
Bullenhausen|53.45|10.0833
Burglengenfeld|49.2|12.0333
Burgst�dt|50.9167|12.8167
Burladingen|48.2833|9.11667
Butjadingen|53.5833|8.36667
B�tzfleth|53.6667|9.48333
Buxtehude|53.45|9.7
Carolinensiel|53.7|7.8
Castrop-Rauxel|51.55|7.3
Copitz|50.9667|13.9333
Crossen an der Elster|50.9667|11.9667
Cumlosen|53.0167|11.65
Cuxhaven|53.8833|8.7
Dangast|53.45|8.11667
Dannenwalde|53.0833|13.1833
Dassow|53.9167|10.9833
Deggenau|48.8167|12.9833
Demmin|53.9|13.0333
Derenburg|51.8667|10.9167
Dernau|50.5333|7.03333
Derschen|50.7167|7.98333
Dersum|52.9667|7.28333
Deuben|51.1167|12.0667
Dierhagen|54.3|12.3667
Diersheim|48.65|7.88333
Diesbar|51.25|13.4167
Dinkelscherben|48.35|10.5833
Dittersdorf|50.75|12.1167
Ditzum|53.3167|7.28333
D�lzig|51.35|12.2167
Domb�hl|49.25|10.2833
Dorenthe|52.2167|7.68333
Dormagen|51.0833|6.81667
Dornach|48.15|11.6833
D�rpen|52.95|7.31667
Dorsten|51.6667|6.96667
Dortmund|51.5|7.48333
D�rverden|52.85|9.23333
Drebber|52.65|8.43333
Dreisbach|50.6167|7.93333
Drochtersen|53.7|9.38333
Duisburg|51.4667|6.75
D�sseldorf|51.2333|6.78333
Dusslingen|48.45|9.05
Eberbach|49.4667|8.98333
Eching/Landshut|48.5167|12.0667
Edingen|49.4333|8.6
Effeldorf|49.8|10.0833
Eggerm�hlen|52.5667|7.81667
Eggolsheim|49.7667|11.05
Ehingen|48.2833|9.73333
Ehrenbreitstein|50.35|7.61667
Eiderdeich|54.2833|9.4
