Abu al Bukhoosh|25.4833|53.1333
Abu Dhabi|24.4667|54.3667
Abu Musa|25.8667|55.0167
Ahmed Bin Rashid Port|25.5333|55.55
Al Fujayrah|25.1167|56.3333
Al Jazeera Port|25.7167|55.8
Al Jeer Port|26.0333|56.05
Ar Ruways|24.1167|52.7333
Dibba|25.6167|56.2667
Dubai|25.25|55.2667
Esnnad|24.3167|54.45
Free Port|25.25|55.25
Hamriya Free Zone Port|25.3|55.3167
Hassyan|24.9|54.9
Hulaylah Terminal|25.9833|55.9333
Jebel Ali Free Zone|25|55.05
Kalba|25.0667|56.35
Khor al Fakkan|25.3333|56.35
Mina Khalid|25.35|55.3667
Mina Khalifa/Abu Dhabi|24.8333|54.6667
Mina Rashid Port|25.2667|55.2833
Mina Saqr|25.9667|56.0667
Mina Zayed/Abu Dhabi|24.5167|54.3667
Mirfa|25.4667|53.4833
Musaffah|24.3833|54.4833
Rak Khor Port|25.8167|55.95
Rak Maritime City|25.95|56.05
Ras al Khaimah|25.7833|55.95
Ruwais Port|24.1|52.7167
Sadiyat Island|24.5333|54.4
Sharjah|25.35|55.3833
Umm Al Nar|24.4333|54.5
Umm al Quwain|25.5833|55.5833
Yas Island|24.3167|52.6
Zirku Island|24.8833|53.0667
Dehdadi|36.65|66.9833
Qalat|32.1|66.8833
Torkham|34.8833|71.9167
Falmouth|17.0167|-61.7833
Parham|17.0833|-61.75
Saint John's|17.1167|-61.85
Meads Bay Beach|18.1667|-63.1333
Sombrero|18.6|-63.4667
Butrint|39.75|20.0167
Himare|40.1333|19.7167
Romano Port|41.3667|19.4167
Sarand�|39.8833|20
Sh�ngjin|41.8|19.5667
Vlor�|40.4667|19.4833
Baba|-14.8333|12.2333
Ba�a dos Tigres|-16.6|11.7333
Capulo|-7.98333|13.1667
Cuio|-12.9833|12.9833
Dalia|-7.68333|11.7833
Essungo Terminal|-6.33333|12.1667
Farta Bay|-12.6167|13.2
Futila Terminal|-5.45|12.1833
Gimboa|-7.53333|12.1667
Girassol Terminal|-7.63333|11.6833
Greater Plutonio|-7.83333|12.1167
Kuito Terminal|-5.43333|11.4833
Lombo Terminal|-6.98333|12.35
N�qui|-5.85|13.4333
N'Zeto (Ambrizete)|-7.26667|12.85
Porto Saco (Portosalazar)|-15.1333|12.1333
River Sao Nicolau|-14.25|12.3333
Sazaire Terminal|-6.08333|12.3833
Aboa|-73.05|-13.4167
Arctowski|-62.15|-58.4667
Artigas|-62.1833|-58.9
Arturo Prat|-62.5|-59.6833
Bellingshausen|-62.1833|-58.95
Casey Station|-66.2833|110.517
Comandante Ferraz|-62.0833|-58.3833
Davis Station|-68.5667|77.9667
Dumont d'Urville Station|-66.65|140
Escudero|-62.2|-58.95
Esperanza|-63.3833|-56.9833
General Bernardo O'higgins|-63.3167|-57.9
Great Wall|-62.2167|-58.9667
Halley|-75.5667|-26.5333
Jang Bogo Station|-74.6|164.2
Juan Carlos Primero|-62.65|-60.3833
Jubany|-62.2333|-58.65
King Sejong|-62.2167|-58.7833
Kohnen|-75|0.0666667
Law Base|-69.3833|76.3833
Marambio|-64.2333|-56.65
Mario Zucchelli|-74.6833|164.117
Mawson Station|-67.6|62.8667
McMurdo|-77.8333|166.667
Mirny|-66.55|93
Orcadas|-60.7333|-44.7333
Palmer|-64.7667|-64.05
Port Foster|-63|-60.5667
Progress|-69.4|76.3833
Rothera|-67.5667|-68.1167
San Mart�n|-68.1167|-67.1
Signy|-60.7167|-45.6
Syowa|-69|39.5833
Vernadsky|-65.2333|-64.25
Wasa|-73.05|-13.4167
Zhongshan|-69.3667|76.3833
Agrelo|-33.1167|-68.8833
Arrecifes|-34.0833|-60.1167
Arroyo Seco|-33.1333|-60.4333
