destination|lat|long
Dibba|25.6167|56.2667
Camp Salerno|33.4|70.0667
Meydan|36.9|66.9167
Crocus Hill|18.2167|-63.0667
Vore|41.3833|19.65
Belas|-8.91667|13.1667
River Sao Nicolau|-14.25|12.3333
Great Wall|-62.2167|-58.9667
Zhongshan|-69.3667|76.3833
Arist�bulo del Valle|-27.1167|-54.9167
Benito Juarez|-37.6667|-59.8
Capitan Bermudez|-32.8167|-60.7167
Federaci�n|-31|-57.9
Ingeniero Maschwitz|-34.3667|-58.7333
Lan�s|-34.7|-58.4
Luque|-31.65|-63.3667
Monte Ma�z|-33.2|-62.6
P�rez Mill�n|-33.7667|-60.1
Puerto Tirol|-27.3833|-59.0833
Rivadavia|-33.1833|-68.4667
San Javier|-27.8833|-55.1333
Tunuyan|-33.5667|-69.0167
Villa Hernandarias|-31.2333|-59.9833
Abfaltersbach|46.75|12.5333
Althofen|47.15|14.2333
Auern|47.9833|14.1167
Behamberg|48.0333|14.5
Bruckbach|48|14.7333
Ebbs|47.6333|12.2167
Emmersdorf an der Donau|48.2333|15.3333
Fels am Wagram|48.45|15.8167
F�rnitz|46.55|13.8167
Gleinst�tten|46.75|15.3667
Graz|47.0667|15.45
Gurten|48.25|13.3333
Haugschlag|48.9833|15.05
Hochfilzen|47.4667|12.6167
Ilz|47.0833|15.9167
Kaprun|47.2667|12.7667
Klein Sankt Paul|46.8333|14.5333
Kramsach|47.45|11.8667
Langenrohr|48.3|16
Leutschach|46.6667|15.4667
Mailberg|48.6667|16.1833
Mauerbach|48.25|16.1667
Mitterdorf im Murztal|47.5333|15.5167
Neckenmarkt|47.6|16.55
Neutal|47.5333|16.4333
Oberpullendorf|47.4833|16.5
Pamhagen|47.7|16.9167
Pinsdorf|47.9167|13.7667
Proleb|47.4|15.1333
Rauris|47.2167|13
Roitham|48.0167|13.8167
Sankt Florian am Inn|48.4333|13.6
Sankt Michael|47.3333|15
Schalchen|48.2|13.2167
Schwaz|47.35|11.7167
S�ding|46.9833|15.2833
Steinfeld|46.75|13.2333
Trieben|47.4833|14.4667
Velm|48.4667|16.7667
Wals|47.7833|12.9667
Weiz|47.2167|15.6
Windhaag Bei Freistadt|48.5833|14.55
Zemendorf-St�ttera|47.75|16.45
Albion Park|-34.5667|150.783
Annandale|-33.8833|151.167
Ashwood|-37.8667|146
Balcombe|-38.25|145.017
Berambing|-33.5333|150.433
Bing Bong|-15.6|136.35
Bomaderry|-34.85|150.617
Boyup Brook|-33.8333|116.383
Brooklyn|-33.55|151.233
Burleigh Heads|-28.1|153.45
Camellia|-33.8167|151.017
Carbrook|-27.6833|153.267
Caufield North|-37.8667|14.85
Chipping Norton|-33.9|150.95
Cockatoo Island|-16.1|123.617
Coolabah|-31.0167|146.7
Cowaramup|-33.8667|115.083
Cudlee Creek|-34.8333|138.817
Dixons Creek|-37.6|145.417
Dungog|-32.4167|151.75
Forrestfield|-31.9833|116
Geelong North|-38.1|144.35
Glenorchy|-42.8333|147.283
Grantham|-27.5833|152.2
Gungahlin/Canberra|-35.1667|149.217
Howlong|-35.9833|146.617
Kendall|-31.6|152.733
Kotara|-32.95|151.683
Lamplough|-37.1333|143.517
Leichardt|-36.6833|144.067
Lockhart|-35.2167|146.717
Lyndhurst|-38.05|145.25
Mandogalup|-32.2|115.8
Marulan|-34.7|150.017
Melton|-37.6833|144.583
Mill Park|-37.6667|145.067
Molendinar|-27.9833|153.367
Myrtleford|-36.55|146.733
New Farm|-27.4667|153.033
Normanhurst|-33.7333|151.1
Palmerston|-12.4667|130.833
Penola|-37.3833|140.817
Port of Brisbane|-27.3833|153.167
Research|-37.7|145.183
Rowella|-41.2|146.9
Sassafras|-37.8667|145.333
Shoreham|-38.4167|145.05
South Trees|-23.9|151.283
Surrey Hills|-37.8167|145.1
Thornleigh|-33.7333|151.083
Tooronga|-37.7667|145.1
Tura Beach|-36.85|149.917
Wallendbeen|-34.5333|148.167
Waterloo|-31.0333|151.717
West Hoxton|-33.9167|150.85
Williams|-33.0333|116.883
Withnell Bay|-20.5833|116.783
Woolloongabba|-27.4833|153.033
Yandicoogina / Yandi Apt|-21.4167|120.167
Naxcivan|39.2|45.2333
Doboj|44.1167|18.1
Modrica|44.95|18.2833
Anderlues|50.4|4.26667
Assenede|51.2333|3.75
Bande|50.1667|5.41667
Beervelde|51.0833|3.88333
Beselare|50.85|3.01667
Blaton|50.5|3.65
Bossi�re|50.5167|4.68333
Broechem|51.1833|4.6
Cerfontaine|50.1667|4.41667
Clermont|50.2667|4.31667
De Pinte|51|3.65
Donk|50.9333|5.11667
Ellezelles|50.7333|3.68333
Estaimbourg|50.6833|3.3
Fl�malle-Grande|50.6|5.48333
Frasnes-lez-Gosselies|50.5333|4.43333
Gesves|50.4|5.06667
Grand-Leez|50.5833|4.75
Halleux|50.1667|5.5
Havr�|50.4667|4.03333
Herne|50.7167|4.03333
Hoeselt|50.85|5.48333
Houyet|50.1833|5.01667
Jalhay|50.5667|5.96667
Kemzeke|51.2|4.06667
Koolskamp|51|3.2
Lanaken|50.8833|5.65
Leisele|50.9833|2.61667
