destination|lat|long
Dibba|25.6167|56.2667
River Sao Nicolau|-14.25|12.3333
Great Wall|-62.2167|-58.9667
Zhongshan|-69.3667|76.3833
Rivadavia|-33.1833|-68.4667
Tunuyan|-33.5667|-69.0167
Villa Hernandarias|-31.2333|-59.9833
Leutschach|46.6667|15.4667
Annandale|-33.8833|151.167
Bing Bong|-15.6|136.35
Bomaderry|-34.85|150.617
Caufield North|-37.8667|14.85
Cockatoo Island|-16.1|123.617
Cowaramup|-33.8667|115.083
Grantham|-27.5833|152.2
Palmerston|-12.4667|130.833
Port of Brisbane|-27.3833|153.167
South Trees|-23.9|151.283
Withnell Bay|-20.5833|116.783
Blaton|50.5|3.65
De Pinte|51|3.65
Havr�|50.4667|4.03333
Lanaken|50.8833|5.65
Mechelen|51.0333|4.46667
Nevele|51.0333|3.55
Okegem|50.85|4.05
Pont-�-Celles|50.5|4.35
Rebaix|50.65|3.78333
Roesbrugge-Haringe|50.9167|2.61667
Solre-sur-Sambre|50.3|4.13333
Vaulx|50.0667|4.36667
Ville-sur-Haine|50.4667|4.05
Alc�ntara|-2.4|-44.4167
Antonina|-25.4167|-48.7
Bacabeira|-2.98333|-44.3
Cruzeiro do Sul|-7.61667|-72.6667
Eirunep�|-6.66667|-69.85
Itagua� Pt = Sepetiba Pt|-22.8667|-43.7667
Vila do Conde Pt / Barcarena|-1.51667|-48.7167
Barrington|43.5667|-65.5667
Bow City|50.4167|-112.267
Jackson Arm|49.8667|-56.8
L'Anse-�-Beaufils|48.4667|-64.3
Meaford|44.6|-80.6
Notre-Dame-du-Bon-Conseil|46|-72.35
Saint-Damien-de-Brandon|46.3333|-73.4833
Williams Harbour|52.55|-55.7833
Porto Ronco|46.1333|8.73333
Dalcahue|-42.3833|-73.6667
Puerto Patache|-20.8|-70.2
Aojiang Pt|27.5833|120.45
Dongjiaotou Pt|20.3333|110.417
Qisha Pt|21.5833|108.467
Shidao Pt|36.8667|122.433
Wenshan|23.3667|104.25
Wuzhou|23.4833|111.333
Leticia|-4.21667|-69.9333
Golfito|8.65|-83.15
San Pedro de Poas|10.0833|-84.25
Sint Michielsbaai|12.15|-68.9833
Bartosovice|49.6667|18.05
Kadan|50.3833|13.2667
Alt Bork|52.1833|12.8667
Baltrum|53.7333|7.36667
Brodenbach|50.2167|7.45
Dorsten|51.6667|6.96667
Friedrichsfeld|51.6333|6.65
Grossensiel|53.4667|8.48333
Issum|51.5333|6.41667
Ludwigsau|50.8833|9.73333
Mainzlar|50.6667|-8.73333
Minsen|53.7|7.96667
Neuharlingersiel|53.7|7.7
Nordhorn|52.4333|7.08333
Oberwinter|50.6|7.2
Ostermoor|53.9|9.18333
Pautzfeld|49.7667|11.0167
Pf�rring|48.8167|11.6833
Spiekeroog|53.7667|7.7
Ueckerm�nde|53.7333|14.05
Viewrow|54.1167|13.5833
Wangerooge|53.8|7.9
Wolkenstein|50.65|13.0667
W�rth an der Donau|49|12.4
Allinge|55.2667|14.8
Klintholm Havn|57.95|12.4667
Troense|55.0333|10.65
Ghazaouet|35.1|-1.85
Kelvingi|59.55|24.8333
Laaksaare|58.3333|27.4167
Omedu Rand|58.7833|26.9833
Piirivalvesadam|59.45|24.6667
Rohuk�la|58.9|23.4333
Soo|58.7167|27.1167
Triigi|58.6|22.7167
Vene-Balti|59.45|24.65
Marsa Egyptian Propylene & Polypropylene|31.3|32.15
Binissalem|39.6833|2.83333
Calella|41.6167|2.66667
Ibiza|38.9|1.43333
Iurreta|43.1667|-2.63333
La Ametlla de Mar|40.9|0.8
Lapuebla de Labarca|42.5|-2.56667
Miguel Esteban|39.5167|-3.08333
Puebla del Carami�al|42.6|-8.93333
Ripoll|42.2|2.18333
San Carlos de la R�pita|40.6167|0.6
Sanguineda|42.1833|-8.63333
Tijarafe|28.7|-17.95
Trebujena|36.8667|-6.16667
Ecker�|60.2167|19.6167
Kojonkulma|60.95|22.9833
Skinnarvik|60.1333|22.4667
Taivassalo (T�vsala)|60.5667|21.6
Torne� (Tornio)|65.85|24.1833
Veitsiluoto|65.6833|24.6333
Amb�s|45|-0.533333
Bidart|43.4333|-1.56667
Bonneuil-sur-Marne|48.7667|2.48333
Buxeuil|48.05|4.4
Channes|47.9333|4.25
Chusclan|44.15|4.68333
Corcelles-en-Beaujolais|46.15|4.71667
Creil|49.25|2.48333
Dieue-Sur-Meuse|49.0667|5.41667
Dom-le-Mesnil|49.6833|4.8
�pagne-�pagnette|50.0667|1.86667
Fouesnant|47.9|-4.01667
�le-Mol�ne|48.4|3.05
La Cerlangue|49.5|0.416667
Lamagist�re|44.1167|0.8
Le Barcar�s|42.7833|3.03333
L�zardrieux|48.7833|-3.1
Locmiqu�lic|47.7167|-3.35
Monni�res|47.1333|-1.35
Port-des-Barques|45.95|0.916667
Sainte-Maure-de-Peyriac|44.0167|0.15
Saint-Quentin-la-Motte-Croix-au-Bailly|50.0667|1.45
Saint-Simon|49.75|3.16667
Samois-sur-Seine|48.45|2.75
Villers-sous-Ch�tillon|49.1|3.8
Ardnamurchan|56.6833|-6.08333
Avonmouth|51.5|-2.68333
Barrow upon Trent|52.85|-1.46667
Bognor Regis|50.7833|-0.683333
Cardigan (Aberteifi)|52.0833|-4.65
Charlestown|56.0333|-3.5
Dunoon|55.95|-4.95
Felbrigg|52.9|1.26667
Freshwater|50.6667|-1.51667
Glenluce|54.8667|-4.83333
Hougharry and Loch Eport|57.6|-7.55
Lismore Island|56.4833|-5.55
Lochs|58.1|-6.48333
Lyme Regis|50.7333|-2.93333
Maydown|55.0167|-7.25
Miserden|51.7833|-2.1
New Holland|53.7|-0.366667
Newhaven/Edinburgh|55.9833|-3.18333
Portballintrae|55.2167|-6.53333
Portscatho|50.1833|-4.98333
Preston|53.75|-2.71667
Rejerrah|50.35|-5.08333
Rock Ferry|53.3667|-3
Shetland|60.5333|-1.21667
South Uist and Eriskay|57.0667|-7.26667
Stuartfield|57.5|-2.05
Tayport|56.45|-2.88333
Tongue|58.4667|-4.41667
Upholland|53.5333|-2.71667
Walls Shetland|60.2167|-1.56667
Wembley|51.55|-0.283333
Willingham|52.3167|0.666667
Seqi Olivine Mine|64.9667|-51.5667
Boffa|10.1833|-14.0333
Petit-Bourg|16.1833|-61.5833
Agios Nikolaos Fokidas|38.3333|22.15
Altsi|35.1667|25.8833
Antikyra|38.3833|22.6333
Er�tria|38.4|23.8
Leros|37.1833|26.8
Molyvos|39.3667|26.15
Platygiali Etoloakarnanias|38.4667|21.1
Sikinos|36.7|25.1167
Thymaina Island|37.5833|26.45
L�vingston|15.8333|-88.75
Heard Island|-53.0833|73.7167
Klimno|45.15|14.6333
Rijeka|45.3333|14.4
Badacsony�rs|46.8|17.5333
Duna�jv�ros|46.9667|18.9333
Belitung|-2.83333|107.917
Kolaka|-4.05|121.567
Pagerungan|-6.91667|115.917
