destination|lat|long
Lan�s|-34.7|-58.4
Fels am Wagram|48.45|15.8167
Neckenmarkt|47.6|16.55
Wals|47.7833|12.9667
Caufield North|-37.8667|14.85
Lamplough|-37.1333|143.517
Rowella|-41.2|146.9
Doboj|44.1167|18.1
Fl�malle-Grande|50.6|5.48333
Malle|51.3|4.7
Solre-sur-Sambre|50.3|4.13333
Musachevo|42.1|25.8333
Anauril�ndia|-22.1667|-52.7167
Botelhos|-21.65|-46.3833
Chal�|-20.0333|-41.6833
Fama|-21.4|-45.8167
Ipu|-4.3|-40.7167
Lavras do Sul|-30.8|-53.8833
Nioaque|-21.15|-55.8333
Petrobr�s 74 FPSO|-24.6333|-42.5167
Rol�ndia|-23.3|-51.35
S�o Jos� do Egito|-7.46667|-37.2667
Tr�s Coroas|-29.5|-50.7667
Arundel|45.9667|-74.6167
Errington|49.2833|-124.367
Meaford|44.6|-80.6
Saint-Brieux|52.6333|-104.9
Weston|43.7|-79.5
Grancia|46.0333|8.76667
Porto Ronco|46.1333|8.73333
Ancoa|-35.9167|-71.4333
Massongo Terminal|4.21667|8.78333
Qisha Pt|21.5833|108.467
Plato|9.76667|-74.7667
Sint Michielsbaai|12.15|-68.9833
Kostelec nad Cern�mi Lesy|50|14.8667
Star� Role|50.2333|12.8167
Alleringersleben|52.2167|11.1333
Bad Suderode|51.7333|11.1167
Berschweiler bei Kirn|49.7667|7.38333
Bramstedtlund|54.85|9.06667
Campow|53.75|10.7667
Eickhorst|52.35|10.5
Gehofen|51.3167|11.3167
Hammah|53.6167|9.36667
Inden|50.8667|6.35
Laufenthal|49.0667|11.8167
Moellenhagen|53.5333|12.9333
Nisterau|50.65|7.98333
Pottenstein|49.7667|11.4
Schlaitz|51.6667|12.4333
Strasburg Uckermark|53.5|13.75
Wangerooge|53.8|7.9
Wurzen|51.3667|12.7167
Rodkaersbro|56.35|9.51667
Virgen de Fatima|-2.25|-79.6333
Adeje|28.1167|-16.7167
Barciademera|42.2667|-8.38333
Chipiona|36.75|-6.43333
Gerena|37.5333|-6.15
Las Pedro�eras|39.45|-2.66667
Noguerones|37.6|-4.08333
San Carlos de la R�pita|40.6167|0.6
Torremocha|39.35|-6.16667
Ecker�|60.2167|19.6167
Rautavaara|63.4833|28.2833
Arbin|45.5|6.06667
Banteux|50.0667|3.2
Biscarrosse|44.4|-1.16667
Briscous|43.4667|-1.33333
Cerny|48.4667|2.31667
Chevagny-les-Chevri�res|46.3333|4.76667
Crain|47.5333|3.55
Ecquevilly|48.95|1.91667
Fontaines-sur-Sa�ne|45.8333|4.85
Grandouet|49.15|0.0666667
Janville|48.2|1.88333
La Roche-Blanche|47.4333|-1.13333
Le Breuil|45.8833|4.58333
Lestiac-sur-Garonne|44.6833|-0.383333
Maisdon-sur-S�vre|47.1|-1.38333
Mesnil-Saint-Laurent|49.8333|3.35
Montrond-le-Ch�teau|47.1333|6.05
Noyelles-l�s-Vermelles|50.4833|2.71667
Planchez|47.1333|4.01667
Quetieville|49.1|-0.333333
Sagy|46.6|5.3
Saint-Est�phe|45.2667|-0.766667
Saint-L�|49.1167|-1.08333
Saint-Samson-de-Bonfoss�|49.05|-1.11667
S�niergues|44.7|1.55
Thourotte|49.4833|2.88333
V�mars|49.0667|2.56667
Viriville|45.3167|5.2
Bargoed|51.6833|-3.23333
Byley|53.2|-2.4
Dunoon|55.95|-4.95
Hebden Bridge|53.75|-2.01667
Leckhampstead|51.4667|-1.36667
Newhaven/Edinburgh|55.9833|-3.18333
Ridgmont|52|-0.583333
Stuartfield|57.5|-2.05
Whimple|50.7667|-3.35
Ath�nai|37.9833|23.7333
El Jicaro|14.7667|-90.4
Lucko|45.75|15.8667
K�l|47.7167|20.25
Buduran|-7.41667|112.717
Blackrock|53.3|-6.18333
Kfar Saba|32.1667|34.9
Erode|11.35|77.7333
Siddapur|12.3|75.8667
Arcella|40.95|14.8167
Camogli|44.35|9.15
Cellatica|45.5833|10.1667
Fontanellato|44.8833|10.1667
Lucernate|45.5|9.01667
Mornico al Serio|45.6|9.81667
Pognano|45.5833|9.63333
San Floriano del Collio|45.9833|13.5833
Squillace|38.7833|16.5167
Villaretto|45.0167|7.11667
Setagaya-ku/Tokyo|35.65|139.65
Seocheon-gun|36.8|126.683
Kelme|55.6167|22.9333
Khenifra|32.9333|-5.66667
Gan|-0.7|73.15
Mexquitic de Carmona|22.2667|-101.117
Bandar Sri Damansara|3.18333|101.6
Achthuizen|51.6833|4.26667
Holsloot|52.7167|6.8
Usquert|53.4333|6.55
Kollsnes|60.5667|4.81667
Cheviot|-42.8167|173.267
Las Yayas Adentro|8.93333|-79.8667
Cagdianao|9.91667|125.667
Czerwonak|52.45|16.9833
Limanowa|49.7|20.4333
Sep�lno Krajenskie|53.45|17.5167
Zlotk�w|52.4|18.1167
Moncarapacho|37.0833|-7.78333
BGN/PCGN1956 - HAMAD|25|51.6167
Subcetate|46.85|25.4333
Neman|55.0333|22.0167
Bohus|57.85|12
Skogen|63.1333|16.35
Skocjan|45.9|15.2833
Tvrdosovce|48.1|18.0667
B�herden|38.4333|57.4167
Rio Claro|10.3|-61.1833
Alvarado|48.1833|-96.9833
Belmont|37.5167|-97.9833
Bronson|42.4|-96.2
